pop,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
YO11,2024,10,2.89000010490417,62.6100006103516,0,65.5,11.0699996948242,1.12000000476837,13.8800001144409
YO4,2024,10,7.46999979019165,74.8300018310547,0,82.3000030517578,9,7.80000019073486,18.9599990844727
YO7,2024,10,5.11999988555908,73.5800018310547,0,78.6999969482422,9.05000019073486,3.75,16.4699993133545
YO8,2024,10,0.959999978542328,79.3399963378906,0,80.3000030517578,8.78999996185303,3.3199999332428,15.9700002670288
YO1,2024,10,5.71999979019165,73.6800003051758,0,79.4000015258789,7.42000007629395,7.61999988555908,18.5300006866455
UCD_Garden,2024,10,5.17000007629395,83.9300003051758,0,89.0999984741211,3.41000008583069,11.9099998474121,28.7600002288818
WL2_Garden,2024,10,5.3600001335144,73.7399978637695,0,79.0999984741211,27.5300006866455,6.67999982833862,17.9699993133545
BH,2024,11,0.469999998807907,46.5299987792969,0,47,65.6800003051758,5.80999994277954,16.3999996185303
CC,2024,11,5.21000003814697,30.0900001525879,0,35.2999992370605,314.869995117188,6.19999980926514,15.8500003814697
CP2,2024,11,2.61999988555908,26.7800006866455,84.9199981689453,29.3999996185303,144.270004272461,-3.74000000953674,5.15000009536743
CP3,2024,11,3.51999998092651,22.7800006866455,109.779998779297,26.2999992370605,141.039993286133,-4.6399998664856,4.44000005722046
DPR,2024,11,17.4200000762939,12.9799995422363,0,30.3999996185303,279.130004882812,2.99000000953674,11.9700002670288
FR,2024,11,3.25999999046326,25.0400009155273,0,28.2999992370605,337.670013427734,1.83000004291534,10.1899995803833
IH,2024,11,0.600000023841858,33.5,0,34.0999984741211,226.029998779297,3.98000001907349,14.0299997329712
LV1,2024,11,3.4300000667572,20.7700004577637,499.959991455078,24.2000007629395,507.089996337891,-4.84999990463257,2.5699999332428
LV3,2024,11,2.92000007629395,17.0799999237061,500.640014648438,20,507.220001220703,-4.78000020980835,2.59999990463257
LVTR1,2024,11,3.91000008583069,18.6900005340576,511.989990234375,22.6000003814697,518.919982910156,-4.84999990463257,2.55999994277954
SC,2024,11,0.239999994635582,37.6599998474121,0,37.9000015258789,87.5599975585938,4.84999990463257,15.25
SQ1,2024,11,0,47.7000007629395,0,47.7000007629395,164.949996948242,0.0399999991059303,9.18000030517578
SQ2,2024,11,0.560000002384186,39.939998626709,0,40.5,158.789993286133,-0.77999997138977,9.03999996185303
SQ3,2024,11,1.03999996185303,42.560001373291,22.0900001525879,43.5999984741211,162.880004882812,-3,7.25
TM2,2024,11,9.69999980926514,25.7000007629395,0,35.4000015258789,346.290008544922,6.01000022888184,15.0100002288818
WL1,2024,11,2.80999994277954,28.7900009155273,0,31.6000003814697,141.600006103516,-0.72000002861023,8.92000007629395
WL2,2024,11,3.8199999332428,27.3799991607666,45.5,31.2000007629395,148.229995727539,-3.07999992370605,6.40999984741211
WR,2024,11,2.10999989509583,24.7900009155273,0,26.8999996185303,307.649993896484,1.91999995708466,10.460000038147
WV,2024,11,7.76000022888184,20.4400005340576,0,28.2000007629395,358.369995117188,0.980000019073486,9.43000030517578
YO11,2024,11,2.34999990463257,23.75,68.1500015258789,26.1000003814697,85.6600036621094,-7.36999988555908,3.84999990463257
YO4,2024,11,3.08999991416931,36.310001373291,0,39.4000015258789,133.399993896484,-1.86000001430511,7.71000003814697
YO7,2024,11,4.71000003814697,32.9900016784668,77.4400024414062,37.7000007629395,142.699996948242,-5.28000020980835,5.90000009536743
YO8,2024,11,4.55000019073486,33.6500015258789,85.5999984741211,38.2000007629395,136.779998779297,-5.78000020980835,5.48000001907349
YO1,2024,11,5.09000015258789,32.2099990844727,0,37.2999992370605,126.480003356934,-1.94000005722046,7.57999992370605
UCD_Garden,2024,11,3.83999991416931,34.1599998474121,0,38,99.1399993896484,5.1100001335144,17.3199996948242
WL2_Garden,2024,11,2.99000000953674,28.4099998474121,48.2299995422363,31.3999996185303,148.149993896484,-3.16000008583069,6.32999992370605
BH,2024,12,2.46000003814697,32.439998626709,0,34.9000015258789,61.9099998474121,5.34999990463257,15.2299995422363
CC,2024,12,4.48000001907349,19.8199996948242,0,24.2999992370605,225.130004882812,6.46999979019165,14.0600004196167
CP2,2024,12,2.00999999046326,22.6900005340576,182.789993286133,24.7000007629395,229.589996337891,-1.76999998092651,6.88000011444092
