pop.id,mf,dame_mf,sire_mf,Rep,bed,row,col,status,Type,block_2025,block,Unique.ID
(TM2 x WL2) x (TM2),3_2-13,,,16,G,28,A,2025-survivor,,N,,2144
TM2,30_2025,30,2025,,G,28,B,available,Parent,,P,3773
(WL2 x TM2) x (TM2),2_1-3,,,13,G,29,A,2025-survivor,,N,,2251
WL2,19_2025,19,2025,,G,29,B,available,Parent,,P,3805
TM2,8_2025,8,2025,90,G,30,A,available,Parent,,P,3681
(TM2 x WL2) x (TM2),3_2-13,,,29,G,30,B,2025-survivor,,N,,2157
(WL2 X WL1) X WL2,3_12,3,12,28,G,31,A,available,BC1,,P,3413
BH,3,,,2,G,31,B,2025-survivor,,N,,2615
(WL2 X WV) X WL2,1_7-16,1,16-Jul,12,G,32,A,available,BC1,,P,3241
WL2,26_2025,26,2025,34,G,32,B,available,Parent,,P,3117
(WL2 X WL1) X WL2,3_12,3,12,22,G,33,A,available,BC1,,P,3407
(SQ3 x WL2) x (WL2),12_16-A,12,16-A,12,G,33,B,2025-survivor,,N,,2500
CC,5_2025,5,2025,8,G,34,A,available,Parent,,P,3536
(WL2 X DPR) X WL2,4_13-B,4,13-B,,G,34,B,available,BC1,,P,3923
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,3,G,35,A,available,BC1,,P,3271
(DPR X WL2) X WL2,7_7-16,7,16-Jul,32,G,35,B,available,BC1,,P,3375
(WL2 X CC) X WL2,1_3,1,3,58,G,36,A,available,BC1,,P,3473
TM2,5_2025,5,2025,2,G,36,B,available,Parent,,P,3593
(CC X WL2) X WL2,4_3,4,3,,G,37,A,available,BC1,,P,3877
(WL1 X WL2) x WL2,,,,,G,37,B,available,,,P,3753
(WL2 X CC) X WL2,1_7-16,1,16-Jul,30,G,38,A,available,BC1,,P,3445
WL2,27_2025,27,2025,46,G,38,B,available,Parent,,P,3129
(DPR X WL2) X WL2,9_7-16,9,16-Jul,34,G,39,A,available,BC1,,P,3377
(SQ3 x WL2) x (WL2),3_13-B,,,3,G,39,B,2025-survivor,,N,,2094
(TM2) x (TM2 x WL2),2-1_2,,,3,G,40,A,2025-survivor,,N,,2171
(WL2 x CC) x (WL2 x BH),1_1,,,3,G,41,A,2025-survivor,,N,,2229
,,,,,G,41,B,buffer,,,,buffer
(DPR X WL2) X WL2,5_2-A,5,2-A,2,G,42,A,available,BC1,,P,3345
(YO11 X WL2) X WL2,5_3,5,3,8,G,42,B,available,,,P,3208
,,,,,G,4,C,buffer,,,,
,,,,,G,4,D,buffer,,,,
(DPR x TM2) x (TM2 x WL2),3_2,,,6,G,5,C,2025-survivor,,L,,2083
,,,,,G,5,D,buffer,,,,
(WL2 x BH) x (WL2 x CC),2_3,,,22,G,6,C,2025-survivor,,L,,2537
(TM2 X WL2) X WL2,3_2,3,2,5,G,6,D,available,BC1,,N,3253
WL2,18_2025,18,2025,,G,7,C,available,Parent,,N,3816
WL2 x LV1,2-A_14-A,2-A,14-A,6,G,7,D,2025-survivor,,L,,2024
(TM2 x WL2) x (TM2),3_1-3,,,1,G,8,C,2025-survivor,,L,,2598
(CC X WL2) X WL2,4_3,4,3,,G,8,D,available,BC1,,N,3872
WL2,20_2025,20,2025,55,G,9,C,available,Parent,,N,3138
((WL2 X WL1) X WL2) X WL2),2_28-2,2,28-2,10,G,9,D,available,BC2,,N,3493
(WL2 X DPR) X WL2,4_3-14,4,14-Mar,,G,10,C,available,BC1,,N,3908
(WL1 X WL2) X WL2,10_12,10,12,23,G,10,D,available,BC1,,N,3316
SQ3,13_2023,13,2023,20,G,11,C,available,Parent,,N,3040
(WL2 X CC) X WL2,1_3,1,3,,G,11,D,available,BC1,,N,3934
(DPR X WL2) X WL2,7_12,7,12,30,G,12,C,available,BC1,,N,3373
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,G,12,D,available,BC1,,N,3841
,,,,,G,13,C,buffer,,,N,buffer
(DPR X WL2) X WL2,5_2-A,5,2-A,,G,7,D,available,BC1,,N,3764
TM2,31_2025,31,2025,41,G,14,C,available,Parent,,O,3632
,,,,,G,14,D,out-of-bounds,,,,
WL2,27_2025,27,2025,,G,15,C,available,Parent,,O,3804
WL2,23_2025,23,2025,60,G,15,D,available,Parent,,O,3143
LV1 x WL2,14_8,14,8,2,G,23,C,2025-survivor,,M,,1979
WL2,4,,,40,G,16,D,2025-survivor,,M,,1863
DPR,15_2022,15,2022,,G,17,C,available,Parent,,O,3704
,,,,,G,17,D,out-of-bounds,,,,
,,,,,G,18,C,out-of-bounds,,,,
(WL2 x WV) x (CC x WL2),1_1,,,7,G,18,D,2025-survivor,,M,,2553
(WL2 X DPR) X WL2,4_13-B,4,13-B,23,G,19,C,available,BC1,,O,3291
(DPR X WL2) X WL2,7,7,,31,G,19,D,available,BC1,,O,3374
,,,,,G,20,C,out-of-bounds,,,,
(DPR X WL2) X WL2,9_7-16,9,16-Jul,,G,20,D,available,BC1,,O,3828
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,45,G,21,C,available,BC1,,O,3338
(WV x TM2) x (TM2 x WL2),2_1,2,1,5,G,21,D,2025-survivor,,M,,2336
TM2,8_2025,8,2025,88,G,22,C,available,Parent,,O,3679
,,,,,G,22,D,out-of-bounds,,,,
,,,,,G,23,C,out-of-bounds,,,,
,,,,,G,23,D,out-of-bounds,,,,
(SQ3 x WL2) x (WL2),3_13-B,,,2,G,24,C,2025-survivor,,M,,2093
TM2,6_2025,6,2025,,G,24,D,available,Parent,,O,3786
WL1,16_2023,16,2023,20,G,25,C,available,Parent,,O,3061
(WL2 X CC) X WL2,1_3,1,3,,G,25,D,available,BC1,,O,3880
(CC X WL2) X WL2,4_3,4,3,10,G,26,C,available,BC1,,O,3222
(WL1 X WL2) x WL2,,,,,G,26,D,available,,,O,3739
LV1,1_2025,1,2025,,G,27,C,available,Parent,,O,3850
(WL2) x (WL2 x BH),3-14_1,,,2,G,27,D,2025-survivor,,N,,2310
BH,14_2025,14,2025,6,G,28,C,available,Parent,,P,3513
DPR,2_2025,2,2025,2,G,28,D,available,Parent,,O,3551
(WV X WL2) X WL2,,,,,G,29,C,available,BC1,,P,3886
(WL2 X CC) X WL2,1_12,1,12,11,G,29,D,available,BC1,,P,3426
DPR,19_2022,19,2022,,G,30,C,available,Parent,,P,3705
TM2,8,,,61,G,30,D,2025-survivor,,N,,1765
WL1,18,18,,13,G,31,C,2025-survivor,,N,,1815
WL2,5,,,49,G,31,D,2025-survivor,,N,,1872
(CC X WL2) X WL2,4_3,4,3,11,G,32,C,available,BC1,,P,3223
(WL1 X WL2) X WL2,10_12,10,12,25,G,32,D,available,BC1,,P,3318
WL2,23_2025,23,2025,,G,33,C,available,Parent,,P,3857
(WL1 X WL2) x WL2,,,,,G,33,D,available,,,P,3740
TM2,24_2025,24,2025,,G,34,C,available,Parent,,P,3793
(WL2 X DPR) X WL2,3_13-B,3,13-B,,G,34,D,available,BC1,,P,3911
WV,13_2023,13,2023,,G,35,C,available,Parent,,P,3713
(WL2 X CC) X WL2,1_12,1,12,,G,35,D,available,BC1,,P,3838
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,G,36,C,available,BC1,,P,3899
(TM2 X WL2) X WL2,3_2,3,2,,G,36,D,available,BC1,,P,3903
WV,12,12,,9,G,37,C,2025-survivor,,N,,1930
(WL2 X CC) X WL2,1_3,1,3,,G,37,D,available,BC1,,P,3885
(WL2) x (WL2 x TM2),3-14_2,,,6,G,38,C,2025-survivor,,N,,2321
TM2,38_2025,38,2025,62,G,38,D,available,Parent,,P,3653
(WL1 X WL2) X WL2,11_7-16,11,16-Jul,36,G,39,C,available,BC1,,P,3329
CC,1,,,4,G,39,D,2025-survivor,,N,,1624
(WL2 X CC) X WL2,1_3,1,3,,G,40,C,available,BC1,,P,3946
WL2,19_2025,19,2025,51,G,40,D,available,Parent,,P,3134
WL2,3_2025,3,2025,87,G,41,C,available,Parent,,P,3170
(WL2 X WL1) X WL2,3_12,3,12,23,G,41,D,available,BC1,,P,3408
WL1,14_2023,14,2023,6,G,42,C,available,Parent,,P,3047
