block,bed,row,col,Unique.ID,Pop.Type,pop.id,mf,dame_mf,sire_mf,rep,FruitsY1,Establishment,Y1Surv,WintSurv,LifeHistory,SurvtoBud,FruitsY2,TotalFruit,ProbFruit,TotalFitness
C,C,46,D,1766,Parent,TM2,8,8,NA,62,11,1,1,0,Annual,NA,NA,11,1,11
C,C,47,C,2255,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,17,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,48,D,1919,Parent,WL2,10,10,NA,96,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,49,C,2643,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,45,14,1,1,0,Annual,NA,NA,14,1,14
C,C,49,D,2480,F1,DPR x WL2,NA,NA,NA,3,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,50,C,1794,Parent,TM2,NA,NA,NA,90,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,50,D,2097,F2,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,6,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,51,C,2397,Parent,SQ3,12,12,NA,11,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,51,D,1831,Parent,WL2,1,1,NA,8,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,52,C,2516,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,52,D,1701,Parent,SQ3,7,7,NA,18,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
C,C,53,C,2311,F2,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
C,C,53,D,2640,Parent,TM2,11,11,NA,76,NA,1,1,1,Biennial,1,11,11,1,11
D,C,55,D,2519,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,NA,1,1,1,Non-Rep,0,NA,0,0,0
D,C,56,C,2450,F2,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,6,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
D,C,56,D,2559,F2,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,NA,1,1,1,Biennial,1,5,5,1,5
D,C,57,C,1798,Parent,TM2,NA,NA,NA,94,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
D,C,57,D,1835,Parent,WL2,2,2,NA,12,NA,1,1,1,Non-Rep,0,NA,0,0,0
D,C,58,C,2031,F1,WL2 x TM2,NA,NA,NA,4,NA,1,1,1,Biennial,1,8,8,1,8
D,C,58,D,2457,F2,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,3,NA,1,1,1,Biennial,1,NA,0,0,0
D,D,4,A,1993,F1,TM2 x WL2,2_2,2,2,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,4,B,1704,Parent,SQ3,7,7,NA,21,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
D,D,5,A,2483,F1,LV1 x WL2,14_8,14,8,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
NA,D,5,B,2239,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,1,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
D,D,8,A,2075,F2,(CC x WL2) x (WL2),4_2A,4,2A,15,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
D,D,9,A,2155,F2,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,27,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,9,B,2320,F2,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,5,2,1,1,0,Annual,NA,NA,2,1,2
D,D,10,A,2278,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,40,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,11,A,2362,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,10,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
