parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
WL1,mid,1613.837245,38.78608,-120.2143,historic,1984,54.33916666666667,108.715,122.95165833333333,3.8433333333333333,16.580833333333334,10.212083333333334,12.7375,6.843689680791328,31.8,1475.4198999999996,133.93235499416787,3.9650000000000003,19.485,4.86,377.39,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1985,58.729166666666664,36.90416666666666,81.1225,2.9725,15.864166666666666,9.418333333333333,12.891666666666666,7.241447097135079,33.03,973.4700000000001,115.76133166931098,3.4299999999999997,21.12,1.37,58.01,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1986,55.02916666666667,34.51833333333334,147.4049916666667,3.9116666666666666,16.520833333333332,10.21625,12.609166666666667,5.999865197349323,31.049999999999997,1768.8599000000002,129.64649110101382,4,20.81,0.69,233.8,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1987,62.93333333333334,15.686666666666666,50.68833333333333,4.07,17.5975,10.83375,13.5275,6.4850706609313615,32.13,608.2600000000001,126.65717117675874,3.215,20.175,0.08,143.2,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1988,62.954166666666666,38.99666666666666,58.357499999999995,4.3725,17.4825,10.9275,13.11,7.18880837893812,33.36,700.2900000000001,103.48316696460819,0.5599999999999998,20.82,3.32,187.15,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1989,54.950833333333335,26.295,100.31583333333333,3.8391666666666664,16.47833333333333,10.15875,12.639166666666666,6.969428737839149,31.85,1203.79,112.52861643356056,5.109999999999999,20.365,0,112.48,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1990,51.906666666666666,14.46,72.2425,3.618333333333333,17.0525,10.335416666666667,13.434166666666666,6.2326083326957,33.55,866.9100000000001,82.39648955941192,3.1399999999999997,6.05,11.11,129.83,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1991,51.774166666666666,28.535833333333333,67.95583333333333,3.48,16.671666666666667,10.075833333333334,13.191666666666666,6.899042368768336,32.5,815.4699999999999,173.98699725475151,0.9500000000000002,20.18,4.64,46.17,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1992,56.589166666666664,2.105,65.51583333333333,4.998333333333333,17.885833333333334,11.442083333333333,12.8875,6.301973160820107,30.93,786.1899999999999,97.15433983541618,4.37,21.405,2.23,52.23,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1993,55.19583333333333,203.16665833333334,129.45333333333332,3.165,15.968333333333334,9.566666666666666,12.803333333333333,6.591677719026861,30.76,1553.4399999999998,111.40027423145953,1.0050000000000001,17.3475,0.16,368.88,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,historic,1994,62.92,11.05,59.145833333333336,3.8850000000000002,17.82,10.8525,13.935,7.038367417881146,34.33,709.75,100.80670923608407,1.435,21.58,0,216.21,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,recent,1995,50.365833333333335,191.18165833333333,168.28164999999998,2.7391666666666667,15.4575,9.098333333333333,12.718333333333334,6.660295629984294,32,2019.3798,114.44120660436992,3.51,17.905,0.17,287.37,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,recent,1996,55.73166666666667,60.6375,129.19833333333335,4.441666666666667,17.589166666666667,11.015416666666667,13.147499999999999,6.363198687600348,30.06,1550.3799999999999,109.01662304657133,3.9149999999999996,13.315,0.8,277.49,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,recent,1997,52.736666666666665,114.25333333333334,134.44998333333334,4.118333333333333,17.260833333333334,10.689583333333333,13.1425,6.02106886401007,29.54,1613.3998000000001,152.25844958736957,3.34,19.41,3.67,564.5999,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,recent,1998,46.99166666666667,112.70666666666668,146.10416666666666,3.3666666666666667,15.412500000000001,9.389583333333334,12.045833333333333,6.890244572230475,32.08,1753.25,95.50663978252888,1.1850000000000003,20.155,3.04,453.48,Water Year
WL1,mid,1613.837245,38.78608,-120.2143,recent,1999,53.288333333333334,57.63,111.7525,2.8833333333333333,16.0575,9.470416666666667,13.174166666666666,6.512303550808944,30.66,1341.0300000000002,114.86714306546497,2.04,18.1,5.46,404.85,Water Year
