parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
BH,low,511.4294422,37.40985,-119.96458,recent,2004,81.455,0,44.44166666666667,8.545833333333334,23.8175,16.18166666666667,15.271666666666667,6.879581889162812,33.419999999999995,533.3,128.81125868317227,15.905,25.697499999999998,0,52.58,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2005,68.40666666666667,0,62.295833333333334,8.233333333333333,23.0775,15.655416666666667,14.844166666666666,6.915539963909126,35.339999999999996,747.5500000000001,115.91880235196767,7.859999999999999,27.735,0,229.74,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2006,69.94500000000001,0,60.090833333333336,8.7475,23.5775,16.1625,14.83,7.146766115460259,35.33,721.0899999999999,118.93695514573697,11.785,26.244999999999997,0,150.69,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2007,82.81416666666667,0,29.158333333333335,8.295,23.498333333333335,15.896666666666667,15.203333333333333,6.86998720831591,35.73,349.90000000000003,124.26118132985818,8.91,24.2625,0,24.75,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2008,80.07666666666667,0,37.13666666666666,8.561666666666666,23.64,16.100833333333334,15.078333333333333,7.46001213541949,34.410000000000004,445.64000000000004,166.4599373625277,6.745,24.8125,0,103.49,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2009,74.39333333333333,0,45.8475,8.828333333333333,23.265833333333333,16.047083333333333,14.4375,7.11792534199695,34.55,550.17,90.28552190924579,8.65,26.794999999999998,0,78.63,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2010,69.2,0,54.49166666666667,8.130833333333333,22.205833333333334,15.168333333333333,14.075,6.755190709014181,33.18,653.9,101.02821572459595,9.075,23.45625,0,119.87,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2011,66.0825,0,73.52,8.203333333333333,22.110833333333332,15.157083333333333,13.907499999999999,6.921962234384295,33.02,882.2400000000001,110.50288010109419,9.015,24.435,0.38,114.59,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2012,82.63166666666666,0,26.465,8.48,23.761666666666667,16.120833333333334,15.281666666666666,7.272942331100608,36.599999999999994,317.5799999999999,126.01756286311998,13.110000000000001,22.855,0,0.01,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2013,79.99166666666666,0,32.98666666666667,8.746666666666666,23.7025,16.224583333333335,14.955833333333333,7.093038026612413,36.04,395.8400000000001,177.12628982425957,7.605,27.475,0.1,24.48,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2014,93.24833333333333,0,20.0775,9.481666666666666,25.201666666666664,17.34166666666667,15.719999999999999,6.528913780370756,35.089999999999996,240.93,100.08038270855171,10.555,26.4925,0,15.86,Water Year
